Date,Open,High,Low,Close,High_Last_7_Days,Days_Since_High_Last_7_Days,%_Diff_From_High_Last_7_Days,Low_Last_7_Days,Days_Since_Low_Last_7_Days,%_Diff_From_Low_Last_7_Days,High_Next_5_Days,%_Diff_From_High_Next_5_Days,Low_Next_5_Days,%_Diff_From_Low_Next_5_Days
2018-11-14 00:00:00,6339.17,6375.7,5469.93,5741.47,6542.42,6,-12.24241183,5469.93,0,4.964231718,5767.06,-0.4437269597,4757.01,20.69493232
2018-11-15 00:00:00,5740.51,5767.06,5300.75,5647.5,6457.97,6,-12.54991894,5300.75,0,6.541527142,5701.35,-0.9445131416,4168.25,35.48851436
2018-11-16 00:00:00,5647.5,5676.54,5487.87,5586.27,6435.41,4,-13.1948081,5300.75,1,5.386407584,5701.35,-2.01846931,4168.25,34.01955257
2018-11-17 00:00:00,5586.97,5602.01,5524.7,5568.94,6435.41,5,-13.46409941,5300.75,2,5.059472716,5701.35,-2.322432406,4168.25,33.60379056
2018-11-18 00:00:00,5567.95,5701.35,5567.95,5615.26,6435.41,6,-12.74433175,5300.75,3,5.933311324,5615.98,-0.01282055848,4157.19,35.07345106
2018-11-19 00:00:00,5615.26,5615.98,4757.01,4809.62,6389.43,6,-24.72536674,4757.01,0,1.105946803,4953.56,-2.905788968,3741.2,28.55821661
2018-11-20 00:00:00,4809.62,4953.56,4168.25,4441.81,6375.7,6,-30.33219882,4168.25,0,6.56294608,4689.55,-5.282809651,3550.04,25.11999865
2018-11-21 00:00:00,4441.81,4689.55,4315.58,4593.04,5767.06,6,-20.35733979,4168.25,1,10.19108739,4640.72,-1.027426779,3550.04,29.37995065
2018-11-22 00:00:00,4593.04,4640.72,4297.21,4320.68,5701.35,4,-24.2165452,4168.25,2,3.656930366,4432,-2.511732852,3550.04,21.70792442
2018-11-23 00:00:00,4320.68,4419.48,4157.19,4343.42,5701.35,5,-23.8176923,4157.19,0,4.479708649,4432,-1.998646209,3550.04,22.34848058
2018-11-24 00:00:00,4343.42,4432,3741.2,3854.11,5701.35,6,-32.4000456,3741.2,0,3.01801561,4444.39,-13.2814627,3550.04,8.565255603
2018-11-25 00:00:00,3854.11,4165.93,3550.04,4004.15,5615.98,6,-28.70077885,3550.04,0,12.79168685,4444.39,-9.905521343,3598.81,11.26316755
2018-11-26 00:00:00,4004.46,4124.7,3598.81,3784.59,4953.56,6,-23.59858364,3550.04,1,6.606967809,4444.39,-14.84568186,3613.11,4.746049802
2018-11-27 00:00:00,3784.77,3878.9,3613.11,3822.99,4689.55,6,-18.47853206,3550.04,2,7.688645762,4444.39,-13.98167128,3822.94,0.001307893925
2018-11-28 00:00:00,3822.99,4398.57,3822.94,4263.55,4640.72,6,-8.127402644,3550.04,3,20.09864678,4444.39,-4.068949845,3795.18,12.34118013
2018-11-29 00:00:00,4263.52,4444.39,4130.68,4286.69,4444.39,0,-3.548293467,3550.04,4,20.75047042,4331.07,-1.024689049,3770.92,13.6775641
2018-11-30 00:00:00,4286.85,4331.07,3916.3,4009.67,4444.39,1,-9.781319821,3550.04,5,12.94717806,4318.79,-7.157560335,3719.19,7.810302781
2018-12-01 00:00:00,4009.67,4309.65,3942.62,4197.46,4444.39,2,-5.555993061,3550.04,6,18.23697761,4318.79,-2.809351693,3467.92,21.03681746
